Key,Name,Address,Contact No,Account Balance,Nation
1403,Customer#000001403,",ql804gtMc3uxTfP,lt4yRBWQ",22-458-624-2509,9782.34,JAPAN
145,Customer#000000145,kQjHmt2kcec cy3hfMh969u,23-562-444-8454,9748.93,JORDAN
1441,Customer#000001441,"u0YYZb46w,pwKo5H9vz d6B9zK4BOHhG jx",33-681-334-4499,9465.15,UNITED KINGDOM
1312,Customer#000001312,f5zgMB4MHLMSHaX0tDduHAmVd4,13-153-492-9898,9459.5,CANADA
295,Customer#000000295,mk649IH6njR14woTVZ1cxtlNs URxBHD5o5z2,10-340-773-4322,9497.89,ALGERIA
157,Customer#000000157,HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v,25-207-442-1556,9768.73,MOROCCO
683,Customer#000000683,"G0, q8c6vBykpiLvcuSJLYvqE",16-566-251-5446,9120.93,FRANCE
200,Customer#000000200,x1 H5c66DUgH2pgNTJhw6eZKgrAz,26-472-302-4189,9967.6,MOZAMBIQUE
1370,Customer#000001370,"WN7onCgcC,,Lt4dC4C f7SCgnHWSjeTUp",28-575-379-5893,9802.04,CHINA
100,Customer#000000100,fptUABXcmkC5Wx,30-749-445-4907,9889.89,SAUDI ARABIA
197,Customer#000000197,UeVqssepNuXmtZ38D,11-107-312-6585,9860.22,ARGENTINA
468,Customer#000000468,IcbihAtOVWcnswfyE,20-489-960-5023,9834.19,IRAN
1130,Customer#000001130,60zzrBpFXjvHzyv0WObH3h8LhYbOaRID58e,32-503-721-8203,9519.36,RUSSIA
780,Customer#000000780,CMxcdzgEUkCWP1,18-844-576-7345,9874.12,INDIA
800,Customer#000000800,"mpI6pkdnWLZsBbQi4,uUC5Y3TcM9vmRIgZelrQ",24-555-630-2261,9443.39,KENYA
219,Customer#000000219,eTjiL01eyoKiAe2WQoz3EpPg2lvSLeOu2X2wyxK,21-159-138-6090,9858.57,IRAQ
1106,Customer#000001106,WZEExIU9g2smcowcinj,31-214-739-2409,9977.62,VIETNAM
381,Customer#000000381,w3zVseYDbjBbzLld,15-860-208-7093,9931.71,ETHIOPIA
45,Customer#000000045,"4v3OcpFgoOmMG,CbnF,4mdC",19-715-298-9917,9983.38,INDONESIA
213,Customer#000000213,NpqMYBhBcWk8mnEta,34-768-700-9764,9987.71,UNITED STATES
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,29-316-665-2897,9904.28,ROMANIA
1478,Customer#000001478,x7HDvJDDpR3MqZ5vg2CanfQ1hF0j4,17-420-484-5959,9701.54,GERMANY
1051,Customer#000001051,"iHS,UFudVOOe",12-869-221-1428,9776.39,BRAZIL
140,Customer#000000140,"XRqEPiKgcETII,iOLDZp5jA",14-273-885-6505,9963.15,EGYPT
518,Customer#000000518,"EsCrt4chk,3IRIzwMHTu 6VQWrfh",27-651-256-7682,9871.66,PERU
